Invoice_IDBranch,Branch,City,Customer_type,Gender,Product_type,Unit_price,Quantity,Tax,Total,Payment
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,Cash
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,Cash
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,Ewallet
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,Cash
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,Cash
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,Credit card
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,Ewallet
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,Ewallet
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,Credit card
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,Cash
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,Cash
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,Ewallet
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,Ewallet
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,Cash
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,Cash
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,Credit card
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,Cash
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,Ewallet
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,Cash
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,Ewallet
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,Credit card
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,Credit card
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,Credit card
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,Ewallet
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,Cash
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,Credit card
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,Ewallet
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,Ewallet
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,Credit card
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,Cash
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,Ewallet
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,Cash
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,Credit card
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,Cash
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,Cash
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,Cash
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,Ewallet
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,Ewallet
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,Credit card
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,Credit card
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,Ewallet
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,Ewallet
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,Cash
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,Ewallet
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,Cash
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,Cash
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,Cash
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,Cash
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,Cash
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,Cash
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,Ewallet
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,Credit card
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,Cash
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,Cash
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,Cash
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,Ewallet
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,Credit card
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,Cash
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,Ewallet
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,Credit card
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,Credit card
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,Ewallet
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,Ewallet
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,Ewallet
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,Ewallet
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,Credit card
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,Credit card
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,Credit card
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,Credit card
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,Ewallet
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,Credit card
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,Cash
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,Credit card
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,Ewallet
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,Ewallet
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,Cash
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,Cash
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,Cash
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,Credit card
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,Ewallet
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,Cash
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,Credit card
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,Cash
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,Cash
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29,609,Ewallet
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,Credit card
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,Cash
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,Cash
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,Credit card
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,Ewallet
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,Credit card
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,Ewallet
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,Credit card
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,Credit card
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,Credit card
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,Credit card
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.016,Credit card
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,Credit card
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,Ewallet
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,Cash
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,Credit card
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,Cash
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,Ewallet
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.729,Ewallet
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,Ewallet
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,362.712,Credit card
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,Cash
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,Credit card
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,Ewallet
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,Credit card
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,357.588,Ewallet
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,Cash
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,Credit card
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,Cash
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,Credit card
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,Ewallet
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,Credit card
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,Cash
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,333.207,Credit card
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,166.236,Ewallet
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,Ewallet
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.228,Credit card
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,Credit card
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,465.444,Ewallet
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.42,Ewallet
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,Cash
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,323.148,Cash
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,Ewallet
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724,288.204,Ewallet
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,Credit card
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,2.712,56.952,Ewallet
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,Ewallet
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,Cash
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,Ewallet
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,Credit card
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,Credit card
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,Ewallet
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,39.51,829.71,Cash
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,Ewallet
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,Credit card
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,Cash
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2,4.37,91.77,Cash
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,Ewallet
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,8.3,174.3,Credit card
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39,5,17.8475,374.7975,Credit card
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5.745,120.645,Credit card
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,11.498,241.458,Cash
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,Cash
875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10,12.95,271.95,Ewallet
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,4.4425,93.2925,Credit card
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,Ewallet
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,Credit card
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,14.265,299.565,Ewallet
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,4.5555,95.6655,Ewallet
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,Credit card
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,11.8035,247.8735,Ewallet
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.967,881.307,Cash
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,Ewallet
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.963,146.223,Credit card
891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,10.3635,217.6335,Cash
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194,Credit card
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,6.1925,130.0425,Cash
319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3,14.196,298.116,Cash
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,37.948,796.908,Ewallet
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34,3,8.601,180.621,Credit card
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,13.605,285.705,Ewallet
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7,21.728,456.288,Ewallet
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,2.9525,62.0025,Cash
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,12.54,1,0.627,13.167,Cash
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,4.325,90.825,Cash
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.716,183.036,Credit card
836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9,31.2165,655.5465,Ewallet
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,7.412,155.652,Ewallet
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,90.7,6,27.21,571.41,Cash
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,25.368,532.728,Ewallet
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,8.137,170.877,Cash
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3,1.5885,33.3585,Credit card
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,84.09,9,37.8405,794.6505,Cash
269-04-5750,B,Mandalay,Member,Male,Fashion accessories,73.82,4,14.764,310.044,Cash
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,545.37,Ewallet
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,9.314,195.594,Ewallet
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,4.3525,91.4025,Credit card
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,44.22,5,11.055,232.155,Credit card
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22,5,3.305,69.405,Cash
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,Ewallet
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,11.223,235.683,Credit card
448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2,5.977,125.517,Credit card
142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories,93.2,2,9.32,195.72,Credit card
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,Cash
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.548,788.508,Credit card
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,Cash
866-05-7563,B,Mandalay,Member,Female,Electronic accessories,81.4,3,12.21,256.41,Cash
604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,4.485,94.185,Ewallet
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,326.424,Credit card
785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06,7,25.571,536.991,Credit card
845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9,20.9475,439.8975,Ewallet
662-47-5456,C,Naypyitaw,Member,Male,Fashion accessories,35.19,10,17.595,369.495,Credit card
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,1.439,30.219,Credit card
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,4.75,99.75,Cash
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,Cash
110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62,4,6.524,137.004,Cash
366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,3.3175,69.6675,Credit card
729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6,7.773,163.233,Ewallet
151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,135.45,Ewallet
380-94-4661,C,Naypyitaw,Member,Male,Electronic accessories,65.94,4,13.188,276.948,Credit card
850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06,9,33.777,709.317,Ewallet
821-07-3596,C,Naypyitaw,Normal,Female,Fashion accessories,16.45,4,3.29,69.09,Ewallet
655-85-5130,B,Mandalay,Member,Female,Fashion accessories,38.3,4,7.66,160.86,Cash
447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24,10,11.12,233.52,Cash
154-74-7179,B,Mandalay,Normal,Male,Sports and travel,54.45,1,2.7225,57.1725,Ewallet
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,723.24,Credit card
808-65-0703,C,Naypyitaw,Normal,Male,Home and lifestyle,35.47,4,7.094,148.974,Credit card
571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,783.3,Cash
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.108,Credit card
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,Ewallet
783-09-1637,B,Mandalay,Normal,Female,Sports and travel,67.43,5,16.8575,354.0075,Ewallet
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,44.352,Cash
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,Credit card
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1.203,25.263,Cash
477-24-6490,B,Mandalay,Normal,Female,Health and beauty,99.71,6,29.913,628.173,Ewallet
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.7895,352.5795,Cash
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,Cash
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,19.084,400.764,Ewallet
537-72-0426,C,Naypyitaw,Member,Male,Fashion accessories,70.99,10,35.495,745.395,Cash
828-61-5674,A,Yangon,Member,Male,Sports and travel,44.02,10,22.01,462.21,Credit card
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.984,587.664,Credit card
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle,37,1,1.85,38.85,Credit card
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,16.107,Cash
